Archivo,Ra,Rq,Rsk,Rku,Rt,RSm,Rp,Rv,Rz,Setting Class
P11_C1_40_1.1.xlsx,6.124906781570048,7.543716808447853,-0.4984722996158025,2.9428316036299877,42.937290948129366,0.38028003576509956,14.703790754154117,-21.030924557806074,35.73471531196019,SC4
P11_C1_40_1.2.xlsx,6.669284605086642,8.576975273793062,-0.3521376417321308,3.7036877210055397,57.55161689922579,0.31032371321408175,18.631217394908678,-24.176400531819997,42.80761792672867,SC4
P11_C1_40_1.3.xlsx,6.29963962079272,7.989881148105294,-0.08102180215552751,3.3754385791257158,52.849871016578135,0.38232087969259354,19.34832547426138,-20.689848277739642,40.03817375200102,SC4
P11_C1_40_1.4.xlsx,7.068183449379423,9.004838342809085,-0.3244551094358554,3.2505548268740454,56.71983937684722,0.2220679440825012,19.221910523732536,-27.2814402390111,46.503350762743636,SC4
P11_C1_40_1.5.xlsx,6.057554170241849,7.603511197361578,-0.13890684230703962,2.903896509876153,44.43236561083107,0.20945135824286215,16.847937736760514,-21.404785969402745,38.25272370616326,SC4
P11_C1_40_1.6.xlsx,6.240465282858758,7.804486833012879,-0.34389576469161715,2.9055727938505793,46.77916941299781,0.23585653906531456,15.860493296114123,-22.300387128164473,38.160880424278595,SC4
P11_C1_40_2.1.xlsx,6.717490805509735,8.493604095166367,-0.27828808228645624,3.052407028650814,53.343684936860456,0.26104869205955533,18.3460374260011,-25.23595287659952,43.58199030260062,SC4
P11_C1_40_2.2.xlsx,7.0470807977323275,9.138817453897115,-0.5434842837418156,3.6907056116078323,55.953324105827576,0.26479651302742285,20.02650419719925,-28.83856142558463,48.86506562278389,SC4
P11_C1_40_2.3.xlsx,7.947232194660743,10.442088342562467,-0.7897548302295243,5.1812381616475145,75.6986731328085,0.30126758257581815,20.197230654899528,-29.446834779476923,49.64406543437646,SC4
P11_C1_40_2.4.xlsx,6.952225133636064,8.794715189216454,-0.13026637289291107,3.6084601016502034,61.57142911171225,0.3559044449789894,21.891015156931967,-27.487100949968045,49.37811610690001,SC4
P11_C1_40_2.5.xlsx,6.854053559747444,8.490705660441606,-0.46930822210229367,3.510192980787424,59.41938307575251,0.26074232298435,16.59198922617646,-28.42283256392418,45.01482179010063,SC4
P11_C1_40_2.6.xlsx,6.768206643744904,8.502494292663746,-0.5400556126069201,3.4219095127383983,51.648718727053605,0.2946827355732818,16.99060016456214,-24.290550859474692,41.28115102403683,SC4
P11_C1_40_3.1.xlsx,5.216817451991765,6.629220076711098,-0.5645328719465871,3.4244092235008354,39.962845968524675,0.23674586632417294,13.034308265766573,-20.481652346486676,33.51596061225325,SC4
P11_C1_40_3.2.xlsx,5.531163644784222,7.042527786912133,-0.3245410922879861,3.3901027919122564,47.683235360876935,0.2635997778381576,14.560406063958984,-19.915629497744696,34.47603556170368,SC4
P11_C1_40_3.3.xlsx,7.1400307675619645,8.955501259433182,-0.33371384210199706,3.3492993138741185,59.094007945349176,0.3110481340223692,20.256738918886384,-23.71164720387762,43.96838612276401,SC4
P11_C1_40_3.4.xlsx,6.513097853046017,8.29015088507348,-0.19001902082177835,2.9438020214639904,46.95991193732563,0.21703526997448683,19.32115919586123,-21.224301435678726,40.545460631539946,SC4
P11_C1_40_3.5.xlsx,6.253355103752085,8.133009064190311,-0.2899415040906124,3.995550546539601,58.38719238528181,0.19395886418217748,17.09079072300104,-24.430646944195445,41.52143766719648,SC4
P11_C1_40_3.6.xlsx,5.736655403840294,8.046726514608132,-0.9993094494119377,6.747411204815102,69.62091779645183,0.28815315688973847,16.629312582627932,-23.235845074771664,39.86515765739959,SC4
